,"Outcome A: $2 Billion Sales Price after Five Years, No Cost Control",,,,,,
,,,,,,Discounted,
,Index,Season,Cash In,Cash Out,Cash In-Out,Cash In-Out,
,,,,,,,
,of Year,or Event,($ millions),($ millions),($ millions),($ millions),
,,,,,,,
,0,Purchase,0,"1,200","-1,200","-1,200",
,1,2016/17,233,273,-40,-38,
,2,2017/18,243,287,-44,-40,
,3,2018/19,253,301,-48,-41,
,4,2019/20,263,316,-53,-44,
,5,2020/21,273,332,-59,-46,
,5,Sale,"1,800",0,"1,800","1,410",
,,,,,,,
,,,,,,,
,Discount Rate (%):,,5,             Net Present Value,,1,
,,,,,,,
,,,,,,,
,"Outcome B: $2 Billion Sales Price after Five Years, Cost Control",,,,,,
,,,,,,Discounted,
,Index,Season,Cash In,Cash Out,Cash In-Out,Cash In-Out,
,of Year,or Event,($ millions),($ millions),($ millions),($ millions),
,,,,,,,
,,,,,,,
,0,Purchase,0,"1,200","-1,200","-1,200",
,1,2016/17,233,250,-17,-16,
,2,2017/18,245,250,-5,-5,
,3,2018/19,257,250,7,6,
,4,2019/20,270,250,20,16,
,5,2020/21,283,250,33,26,
,5,Sale,"1,800",0,"1,800","1,410",
,,,,,,,
,,,,,,,
,Discount Rate (%):,,5,             Net Present Value,,238,
,,,,,,,
,,,,,,,
,"Outcome C: $2.5 Billion Sales Price after Five Years, Cost Control",,,,,,
,,,,,,Discounted,
,Index,Season,Cash In,Cash Out,Cash In-Out,Cash In-Out,
,of Year,or Event,($ millions),($ millions),($ millions),($ millions),
,,,,,,,
,,,,,,,
,0,Purchase,0,"1,200","-1,200","-1,200",
,1,2016/17,233,250,-17,-16,
,2,2017/18,245,250,-5,-5,
,3,2018/19,257,250,7,6,
,4,2019/20,270,250,20,16,
,5,2020/21,283,250,33,26,
,5,Sale,"2,100",0,"2,100","1,645",
,,,,,,,
,,,,,,,
,Discount Rate (%):,,5,             Net Present Value,,473,
,,,,,,,
,,,,,,,
,,,,,,,Probability x
,,,,,Net Present,,Net Present
,,,,,Value,Probability,Value
,,,,,,,
,,,,,,,
,"Outcome A: $1.8 Billion Sale, No Cost Control",,,,1,0.10,0.15
,"Outcome B: $1.8 Billion Sale, Cost Control",,,,238,0.60,142.50
,"Outcome C: $2.1 Billion Sale, Cost Control",,,,473,0.30,141.77
,,,,,,,
,,,,,Expected Value,,284.42
